codigo;usuario;material;valor_propuesto;fechapropuesta
1915821;fperez;-;1;29-09-2025
503496;fperez;-;1;29-09-2025
2087134;fperez;-;1;29-09-2025
718603;fperez;-;1;29-09-2025
840247;fperez;-;1;29-09-2025
921322;fperez;-;1;29-09-2025
1576881;fperez;-;1;30-09-2025
1686200;fperez;-;1;30-09-2025
707212;fperez;-;1;30-09-2025
776543;fperez;-;1;30-09-2025
784825;fperez;-;1;30-09-2025
779880;fperez;-;1;30-09-2025
1962232;fperez;-;1;30-09-2025
552839;fperez;-;1;30-09-2025
1356647;fperez;-;1;30-09-2025
1422313;fperez;-;1;30-09-2025
2312623;fperez;-;1;30-09-2025
2291604;fperez;-;1;30-09-2025
2294085;fperez;-;1;30-09-2025
503799;fperez;-;1;30-09-2025
983070;fperez;-;1;30-09-2025
504201;fperez;-;1;01-10-2025
2293898;fperez;-;1;01-10-2025
503752;fperez;-;1;01-10-2025
2232217;fperez;-;1;01-10-2025
2247053;fperez;-;1;01-10-2025
893420;fperez;-;1;01-10-2025
2329920;fperez;-;1;01-10-2025
1449324;fperez;-;1;01-10-2025
503840;fperez;-;1;01-10-2025
1960143;fperez;-;1;01-10-2025
2209841;fperez;-;1;01-10-2025
715496;fperez;-;1;01-10-2025
504190;fperez;-;1;01-10-2025
503648;fperez;-;1;01-10-2025
850760;fperez;-;1;01-10-2025
934320;fperez;-;1;02-10-2025
2092423;fperez;-;1;02-10-2025
1332040;fperez;-;1;02-10-2025
504104;fperez;-;1;02-10-2025
730107;fperez;-;1;02-10-2025
1954281;fperez;-;1;02-10-2025
2152043;fperez;-;1;02-10-2025
503440;fperez;-;1;02-10-2025
851545;fperez;-;1;02-10-2025
1599816;fperez;-;1;02-10-2025
504926;fperez;-;1;02-10-2025
784928;fperez;-;1;02-10-2025
2066993;fperez;-;1;02-10-2025
503788;fperez;-;1;02-10-2025
504521;fperez;-;1;02-10-2025
715057;fperez;-;1;03-10-2025
504522;fperez;-;1;03-10-2025
2287437;fperez;-;1;03-10-2025
2437263;fperez;-;1;03-10-2025
592504;fperez;-;1;03-10-2025
574589;fperez;-;1;03-10-2025
1651952;fperez;-;1;03-10-2025
755621;fperez;-;1;03-10-2025
1339222;fperez;-;1;03-10-2025
503517;fperez;-;1;03-10-2025
503202;fperez;-;1;03-10-2025
504238;fperez;-;1;03-10-2025
1731092;fperez;-;1;03-10-2025
2052317;fperez;-;1;03-10-2025
505034;fperez;-;1;03-10-2025
1330372;frojas;-;1;29-09-2025
2358480;frojas;-;1;29-09-2025
2011637;frojas;-;1;29-09-2025
848323;frojas;-;1;29-09-2025
1829877;frojas;-;1;29-09-2025
1345088;frojas;-;1;29-09-2025
2283414;frojas;-;1;29-09-2025
564291;frojas;-;1;29-09-2025
