nombreFormulario,fechaVisita,mesVisita,mesNumero,merchan,comunaLocal,SALASVISITADAS,SALASIMPLEMENTADAS,PLAYA,CAMPING,CASCO_URBANO,RURAL,EVENTO,SELL_OUT
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:03:23",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:05:17",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:05:26",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:11:44",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:14:26",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:18:42",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:21:32",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:24:53",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:26:33",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:29:07",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:51:27",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 16:00:58",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 16:02:20",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 16:03:43",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 16:05:20",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 16:06:52",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 16:09:01",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 16:10:23",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 13:49:46",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 13:54:25",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 13:56:53",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 13:59:26",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:02:13",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:07:49",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:10:14",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:35:32",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:38:42",April,4,grojas,INDEPENDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:40:36",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:42:10",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:42:12",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:44:27",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:45:54",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:46:04",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:47:23",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:48:14",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:50:30",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:52:44",April,4,grojas,HUECHURABA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:54:57",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:57:13",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 14:59:14",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","08/04/2025 15:02:35",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 15:43:37",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 15:50:02",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 15:51:52",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 15:53:50",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 15:56:01",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 15:58:05",April,4,grojas,RECOLETA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","09/04/2025 15:58:47",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
